Year,WYT
2006,1
2007,2
2008,2
2009,1
2010,1
2011,2
2012,1
2013,2
2014,1
2015,1
2016,1
2017,1
2018,1
2019,2
2020,2
2021,1
2022,1
2023,2
2024,2
2025,1
2026,1
2027,1
2028,1
2029,2
2030,1
2031,1
2032,1
2033,1
2034,2
2035,2
2036,2
2037,2
2038,1
2039,1
2040,2
2041,1
2042,1
2043,2
2044,1
2045,1
2046,1
2047,2
2048,1
2049,1
2050,1
2051,2
2052,1
2053,1
2054,2
2055,1
2056,2
2057,2
2058,1
2059,1
2060,1
2061,1
2062,1
2063,1
2064,1
2065,2
2066,2
2067,2
2068,1
2069,1
2070,2
2071,1
2072,1
2073,1
2074,1
2075,2
2076,2
2077,2
2078,2
2079,1
2080,1
2081,2
2082,1
2083,1
2084,1
2085,1
2086,1
2087,2
2088,2
2089,1
2090,1
2091,2
2092,2
2093,1
2094,2
2095,1
2096,2
2097,2
2098,2
2099,1
2100,1
