Year,WYT
2006,1
2007,1
2008,2
2009,1
2010,2
2011,1
2012,2
2013,1
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,2
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,2
2041,1
2042,1
2043,1
2044,1
2045,2
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,2
2053,1
2054,2
2055,1
2056,1
2057,1
2058,1
2059,1
2060,1
2061,1
2062,2
2063,1
2064,2
2065,1
2066,1
2067,1
2068,2
2069,1
2070,1
2071,2
2072,1
2073,1
2074,1
2075,1
2076,2
2077,2
2078,2
2079,1
2080,1
2081,2
2082,1
2083,2
2084,2
2085,2
2086,1
2087,1
2088,1
2089,2
2090,1
2091,1
2092,2
2093,2
2094,2
2095,1
2096,2
2097,1
2098,2
2099,1
2100,2
